;Tipos de defectos;;;;;;;;;;;
;10;Documentación;50;Interfaz;90;Sistema;;TOTAL EN MINUTOS: ;;620;;
;20;Sintaxis;60;Comprobación;100;Entorno;;;;;;
;30;Construcción Paquetes;70;Datos;;;;;;;;
;40;Asignación;80;Función;;;;;;;;
;;;;;;;;;;;;
Nombre;George Chicango, Pamela Montenegro, Adrian Ramos;;;;;  ;;Fecha;07/02/2025;;;
Profesor;Ing. Jenny Ruiz;;;;;;;Programa;Hotel Cielo Azul;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Fecha;;Nº;;Tipo;;Introducido;;Eliminado;;T. Corrección (minutos);;Defecto Corregido
;;;;;;;;;;;;
25/10/2024;;1;;50;;Diseño;;Codificacion;;30;;SI
;;;;;;;;;;;;
Descripción:;Los campos del formulario de registro están con un diseño muy básico y no está presentable.;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Fecha;;Nº;;Tipo;;Introducido;;Eliminado;;T. Corrección;;Defecto Corregido
;;;;;;;;;;;;
28/10/2024;;2;;90;;Codificacion;;Codificacion;;60;;SI
;;;;;;;;;;;;
Descripción:;Los campos de los formularios no estan validados, lo que se desea  realizar  es validar cada uno de los campos de todos los formularios y así evitar inyecciones sql a la base de datos.;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Fecha;;Nº;;Tipo;;Introducido;;Eliminado;;T. Corrección;;Defecto Corregido
;;;;;;;;;;;;
29/10/2024;;3;;70;;Despliegue;;Codificacion;;100;;SI
;;;;;;;;;;;;
Descripción:;No se esta conectando correctamente a la base de datos los botones del formularió ya que no esta creada la tabla Register en la base de datos;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Fecha;;Nº;;Tipo;;Introducido;;Eliminado;;T. Corrección;;Defecto Corregido
;;;;;;;;;;;;
30/10/2024;;4;;50;;Pruebas;;Codificacion;;30;;SI
;;;;;;;;;;;;
Descripción:;No está bien configurada la alerta o aviso de Registro Exitoso o Fallido;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Fecha;;Nº;;Tipo;;Introducido;;Eliminado;;T. Corrección;;Defecto Corregido
;;;;;;;;;;;;
04/11/2024;;5;;50;;Diseño;;Codificacion;;40;;SI
;;;;;;;;;;;;
Descripción:;Error al observar la interfaz en varios dispositivos, no tiene implementado el diseño responsivo;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Fecha;;Nº;;Tipo;;Introducido;;Eliminado;;T. Corrección;;Defecto Corregido
;;;;;;;;;;;;
14/11/2024;;6;;20;;Pruebas;;Codificacion;;60;;SI
;;;;;;;;;;;;
Descripción:;Falla en la lógica de retorno del panel principal y secundarios;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Fecha;;Nº;;Tipo;;Introducido;;Eliminado;;T. Corrección;;Defecto Corregido
;;;;;;;;;;;;
21/11/2024;;7;;80;;Codificacion;;Codificacion;;45;;SI
;;;;;;;;;;;;
Descripción:;En la sección de la lógica de las reservas no se consideran casos especiales, como reservas superpuestas, doble reserva, cancelaciones o cambios.;;;;;;;;;;;
;;;;;;;;;;;;
Fecha;;Nº;;Tipo;;Introducido;;Eliminado;;T. Corrección;;Defecto Corregido
;;;;;;;;;;;;
21/12/2024;;8;;60;;Pruebas;;Codificacion;;25;;SI
;;;;;;;;;;;;
Descripción:;Errores lógicos ya que se puede realizar reservas en fechas no disponibles en que el hotel no está en funcionamiento por mantenimiento.;;;;;;;;;;;
;;;;;;;;;;;;
Fecha;;Nº;;Tipo;;Introducido;;Eliminado;;T. Corrección;;Defecto Corregido
;;;;;;;;;;;;
22/11/2024;;9;;60;;Pruebas;;Despliegue;;110;;SI
;;;;;;;;;;;;
Descripción:;No se esta viendo desde la interfaz del administrador las actualización en tiempo real de los resumenes de las reservas.;;;;;;;;;;;
;;;;;;;;;;;;
Fecha;;Nº;;Tipo;;Introducido;;Eliminado;;T. Corrección;;Defecto Corregido
;;;;;;;;;;;;
10/12/2024;;10;;90;;Codificacion;;Mantenimieto;;120;;x
;;;;;;;;;;;;
Descripción:;Código monolítico difícil de modificar sin afectar otras partes.;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
